Sample	Total_base	Total_read	Clean_read	Mapped_read	Mapping_ratio	Dedup_read	Dedup_base	Genomic_base	Genomic_coverage	Genomic_depth	Lambda_percent	Conversion_ratio	CpG_TotalCpG.1X.	CpG_TotalUnique.1X.	CpG_MeanCov.1X.	CpG_MethRatio.1X.	CpG_MethReadRatio.1X.	CpG_TotalCpG.3X.	CpG_TotalUnique.3X.	CpG_MeanCov.3X.	CpG_MethRatio.3X.	CpG_MethReadRatio.3X.	CpG_TotalCpG.5X.	CpG_TotalUnique.5X.	CpG_MeanCov.5X.	CpG_MethRatio.5X.	CpG_MethReadRatio.5X.	CpG_TotalCpG.10X.	CpG_TotalUnique.10X.	CpG_MeanCov.10X.	CpG_MethRatio.10X.	CpG_MethReadRatio.10X.	CHH_TotalCHH.1X.	CHH_TotalUnique.1X.	CHH_MeanCov.1X.	CHH_MethRatio.1X.	CHH_MethReadRatio.1X.	CHH_TotalCHH.3X.	CHH_TotalUnique.3X.	CHH_MeanCov.3X.	CHH_MethRatio.3X.	CHH_MethReadRatio.3X.	CHH_TotalCHH.5X.	CHH_TotalUnique.5X.	CHH_MeanCov.5X.	CHH_MethRatio.5X.	CHH_MethReadRatio.5X.	CHH_TotalCHH.10X.	CHH_TotalUnique.10X.	CHH_MeanCov.10X.	CHH_MethRatio.10X.	CHH_MethReadRatio.10X.	CHG_TotalCHG.1X.	CHG_TotalUnique.1X.	CHG_MeanCov.1X.	CHG_MethRatio.1X.	CHG_MethReadRatio.1X.	CHG_TotalCHG.3X.	CHG_TotalUnique.3X.	CHG_MeanCov.3X.	CHG_MethRatio.3X.	CHG_MethReadRatio.3X.	CHG_TotalCHG.5X.	CHG_TotalUnique.5X.	CHG_MeanCov.5X.	CHG_MethRatio.5X.	CHG_MethReadRatio.5X.	CHG_TotalCHG.10X.	CHG_TotalUnique.10X.	CHG_MeanCov.10X.	CHG_MethRatio.10X.	CHG_MethReadRatio.10X.	orig.ident	nCount_RNA	nFeature_RNA	percent.mt	Cell_id	Embryo	Grade	Day	Preservation	Batch	Group	Index	Lineage	Stage	PBAT_index	PBAT_batch	lambda_percent	Meth_QC
human_E15_D5_Allo_ST_28	3530744100	23538294	19360146	9551091	49.3338	6776161	946165516	873429137	18.4533	0.2976	7.6875	99.51	9263453	6554821	1.413227455	25.22346641	23.20668072	2083992	549599	3.79184096	16.32982829	15.63628656	567101	83885	6.76045777	11.04363259	11.80320535	109456	3543	30.893593	12.9919475	16.18189684	84710050	66583802	1.272232096	1.114647202	1.133856232	11346731	3234748	3.50776351	0.931942324	1.45642107	1964878	315717	6.22354197	1.964722901	4.48108567	257711	8965	28.7463469	20.02189738	23.90576906	30120777	22973202	1.311126634	1.016892488	1.00152378	4792682	1347981	3.555452191	0.737270429	1.029126162	930439	151581	6.138229725	0.997233624	2.381569184	102056	3784	26.97040169	8.52880814	14.97119719	ST1008	329715	10090	2.22434526788287	ST1008_R2.sc68	E15	5BB	D5	Fresh	ST1008	ST	ST1008_R2	PE	5	ST0103_D2	ST0103	10	Pass
human_E15_D5_Allo_ST_41	2975914500	19839430	16653302	7732954	46.435	5827947	813050365	742114677	16.3659	0.2529	8.7246	99.39	13559242	9437416	1.436753662	23.7896972	21.51599057	3223711	846388	3.808786278	14.30664065	13.53118286	877211	126315	6.944630487	9.280808059	9.641901356	186892	4689	39.85753892	9.528278951	11.69002756	121781641	95131934	1.280134187	0.86400436	0.899170777	16841085	4793747	3.513135966	0.794870013	1.233405849	2898545	456802	6.345298401	1.644399346	3.758073533	426587	11814	36.10859997	15.52533689	17.59952765	43550864	32928580	1.322585547	0.792744935	0.798000861	7206453	2025602	3.55768458	0.639496313	0.874525507	1382638	221881	6.231439375	0.82741758	1.967830083	171621	5137	33.40879891	5.054113296	10.54408196	ST1008	134472	8976	3.46912368374085	ST1008_R2.sc81	E15	5BB	D5	Fresh	ST1008	ST	ST1008_R2	TE	5	ST0103_D1	ST0103	10	Pass
human_E15_D5_Allo_ST_42	3517142400	23447616	18401712	8172286	44.4105	5287699	737531511	642652257	13.8533	0.219	12.8644	99.44	12958676	9046367	1.432472947	19.87546671	18.27764242	3027157	812533	3.725580376	13.03173679	12.58515702	757673	115588	6.55494515	9.412281811	9.906665659	126232	3523	35.830826	12.76676412	13.70890852	114001804	88510804	1.28799874	0.886189168	0.925661521	16200072	4656529	3.479001634	0.89968638	1.280005625	2631213	436982	6.021330398	1.871170369	3.731174341	270133	9330	28.95316184	21.24225509	22.60517615	41151137	30978783	1.328365191	0.838196793	0.847885416	6903751	1960304	3.521775704	0.751856125	0.953401841	1248447	208738	5.980928245	1.008893541	2.003054563	112507	4057	27.73157506	8.355654424	13.21339561	ST1008	85857	7339	3.91581350384942	ST1008_R2.sc82	E15	5BB	D5	Fresh	ST1008	ST	ST1008_R2	TE	5	ST0103_D1	ST0103	10	Pass
human_E15_D5_Allo_ST_43	4231569900	28210466	23146664	11192515	48.3548	7813603	1090099229	1008541306	20.5697	0.3436	7.4817	99.41	12931287	9215237	1.403250616	23.14417104	21.34979547	2797586	742848	3.766027505	14.76199887	14.37379675	706030	98970	7.133777912	10.22985056	11.71322532	168083	3413	49.24787577	13.42072077	17.40081228	119606166	94650245	1.263664621	1.194501983	1.239858686	15147795	4335541	3.49386501	1.018513111	1.737760763	2439640	371825	6.561258657	2.23825625	6.066559673	445529	10167	43.82108783	23.70073866	25.36447327	42437475	32584915	1.302365681	1.088139589	1.099014982	6431401	1823319	3.527304328	0.848116002	1.253307143	1140893	179988	6.338717026	1.13689946	3.286546179	165789	4055	40.88508015	9.298895191	16.86714468	ST1008	301837	9429	2.24492027153729	ST1008_R2.sc83	E15	5BB	D5	Fresh	ST1008	ST	ST1008_R2	PE	5	ST0103_D1	ST0103	10	Pass
human_E15_D5_Allo_ST_44	3650283300	24335222	19470826	9476749	48.6715	7138365	994335222	914655121	19.4877	0.3117	8.0134	99.44	9763027	6881786	1.418676344	27.96561615	25.66879002	2217773	587526	3.774765712	17.84837723	17.10607446	585820	85872	6.822014161	12.3767292	12.96883258	117274	3305	35.48381241	13.73070802	16.55435834	89499384	69988005	1.278781757	0.95611171	0.988606022	12277924	3497701	3.510284041	0.837779193	1.350572782	2127130	339415	6.267047714	1.766341087	4.264099796	289136	8954	32.29126647	17.05436788	22.13694455	31860533	24188705	1.317165718	0.874307016	0.876230666	5166116	1452954	3.555595015	0.668950621	0.972524823	999607	161797	6.178155343	0.892205109	2.358032647	115562	3833	30.14923037	7.144633446	14.52381882	ST1008	361506	10488	2.63342793757227	ST1008_R2.sc84	E15	5BB	D5	Fresh	ST1008	ST	ST1008_R2	TE	5	ST0103_D1	ST0103	10	Pass
human_E15_D5_Allo_ST_45	3415450800	22769672	18286334	8151399	44.5765	5381522	750748927	652381319	14.1429	0.2223	13.1026	99.43	13443536	9214489	1.458956216	22.06590461	19.84593959	3380916	893247	3.784973249	13.16996899	12.63971163	924710	140880	6.563813174	8.875563955	9.562663732	150534	4731	31.81864299	11.09143944	14.36468844	116975488	90164786	1.29735225	3.032835626	2.817471473	17557733	4983686	3.52304158	1.564018108	2.09830053	3153273	513409	6.141834288	2.4522522	5.036512874	364508	12626	28.86963409	23.6846523	28.12139168	42159598	31432216	1.341286214	2.431034632	2.218149075	7506850	2102874	3.569804943	1.204497112	1.505368206	1504925	247601	6.078024725	1.378459659	2.825210765	148829	5655	26.31812555	10.90052874	17.75937741	ST1008	142140	8085	3.38891233994653	ST1008_R2.sc85	E15	5BB	D5	Fresh	ST1008	ST	ST1008_R2	TE	5	ST0103_D1	ST0103	10	Pass
human_E15_D5_Allo_ST_46	3310566300	22070442	18526700	8972491	48.4301	6654924	930166944	861402079	18.8761	0.2935	7.3927	99.41	12846167	9014463	1.425061815	24.88965834	22.82179313	2951528	780180	3.783137225	15.41330745	15.28617237	773958	110762	6.987576967	10.42847339	13.17528064	169800	3969	42.78155707	15.69585034	24.41051514	117419847	91781635	1.279339238	1.77184852	1.846742418	16116480	4565814	3.529815275	1.157133026	2.612488094	2809290	424071	6.624574658	2.149021862	9.976057353	527302	11501	45.84836101	27.80470133	46.62986406	41700561	31623928	1.318639512	1.509740004	1.489493336	6769628	1908107	3.5478241	0.959018126	1.547205802	1267631	202315	6.265630329	1.21839656	4.249978756	166645	4667	35.70709235	11.6670195	25.72770134	ST1008	441065	9859	1.50907462618888	ST1008_R2.sc86	E15	5BB	D5	Fresh	ST1008	ST	ST1008_R2	TE	5	ST0103_D1	ST0103	10	Pass
human_E15_D5_Allo_ST_47	2969199600	19794664	17232150	8348489	48.4472	6484435	905962964	841166216	18.3232	0.2866	7.1523	99.45	10526376	7793476	1.350665095	33.97672162	32.42401777	1878263	525294	3.57564145	25.85155079	24.98643828	356667	54109	6.591639099	20.45498013	19.43859266	68570	1996	34.35370741	16.00435371	15.2326357	100709288	80512723	1.25084936	0.991292642	0.966053789	11441127	3387950	3.377005859	0.74399559	0.937677661	1356914	229121	5.922259418	1.259609202	2.623683881	137472	4616	29.78162912	15.09957756	16.74233968	35531247	27739754	1.28087823	0.946242209	0.916068271	4715833	1380575	3.41584702	0.707622628	0.831697817	638713	107786	5.925751025	0.79751554	1.674934924	61682	2192	28.13959854	5.63564781	10.70649865	ST1008	379077	10479	2.30190700042472	ST1008_R2.sc87	E15	5BB	D5	Fresh	ST1008	ST	ST1008_R2	TE	5	ST0103_D1	ST0103	10	Pass
human_E15_D5_Allo_ST_48	3422442300	22816282	19307130	9195768	47.6289	6898814	963954553	890850468	19.2265	0.3035	7.5838	99.47	8698603	6641096	1.309814374	31.17785687	29.67808546	1367295	378573	3.61170765	22.39288217	21.61924324	274938	39914	6.888259758	16.80548053	16.83982676	64278	2077	30.94752046	19.55202696	18.40913579	84164747	69523838	1.210588331	2.399577136	2.274135201	7691380	2271608	3.385874676	1.257044376	1.718666072	945326	152143	6.213404494	2.526737806	5.702375773	145300	5710	25.44658494	26.89061121	27.73428424	29482719	23776603	1.239988698	2.098308631	1.97569741	3251477	949553	3.424218553	1.13969552	1.426253844	451395	73772	6.118784905	1.610402727	3.47237023	59582	2363	25.21455777	14.28173931	18.21695915	ST1008	248662	8950	2.89469239369103	ST1008_R2.sc88	E15	5BB	D5	Fresh	ST1008	ST	ST1008_R2	TE	5	ST0103_D1	ST0103	10	Pass
human_E15_D5_Allo_ST_49	3703800300	24692002	21490694	10331131	48.0726	7339705	1027078741	952300576	19.9418	0.3245	7.2807	99.48	7592958	5565776	1.364222707	34.26388353	32.32145989	1455567	398534	3.652303191	24.5299036	23.50244783	330610	51195	6.457857213	17.91036117	17.63406582	52846	2134	24.76382381	15.80317713	17.356026	73003028	58223528	1.253840681	1.944173257	1.804096294	8616123	2514161	3.427037091	1.007364306	1.274655925	1230261	206712	5.951570301	1.577857115	3.206636706	116602	5286	22.05864548	18.67809875	22.4789616	25638528	19926368	1.28666338	1.80252351	1.649226969	3578290	1030487	3.472426144	0.900493446	1.059123724	583260	98438	5.925150856	0.97722282	1.937384768	48188	2331	20.67267267	8.778721579	14.51181041	ST1008	245679	7916	2.02459306656247	ST1008_R2.sc89	E15	5BB	D5	Fresh	ST1008	ST	ST1008_R2	TE	5	ST0103_D2	ST0103	10	Pass
