orig.ident	nCount_RNA	nFeature_RNA	percent.mt	ID	Cell_id	Embryo	Grade	Day	Preservation	Batch	Group	Index	Lineage	inferCNV_CNV_count	inferCNV_ploidy_sc
ST0102	152357	8740	3.825226278	human_E10_D6_Allo_ST_10	ST0102_R1.sc10	E10	5BC	D6	Fresh	ST0102	ST	ST0102_R1	TE	0	euploidy
ST0102	171201	8757	2.41061676	human_E10_D6_Allo_ST_11	ST0102_R1.sc11	E10	5BC	D6	Fresh	ST0102	ST	ST0102_R1	TE	3	aneuploidy
ST0102	305707	10735	3.273068657	human_E10_D6_Allo_ST_12	ST0102_R1.sc12	E10	5BC	D6	Fresh	ST0102	ST	ST0102_R1	TE	0	euploidy
ST0102	131371	7449	3.487070967	human_E10_D6_Allo_ST_13	ST0102_R1.sc13	E10	5BC	D6	Fresh	ST0102	ST	ST0102_R1	TE	0	euploidy
ST0102	19274	5167	8.73197053	human_E10_D6_Allo_ST_14	ST0102_R1.sc14	E10	5BC	D6	Fresh	ST0102	ST	ST0102_R1	TE	0	euploidy
ST0102	462538	10763	2.28197467	human_E10_D6_Allo_ST_15	ST0102_R1.sc15	E10	5BC	D6	Fresh	ST0102	ST	ST0102_R1	TE	0	euploidy
ST0102	194801	8524	3.009738143	human_E10_D6_Allo_ST_17	ST0102_R1.sc17	E10	5BC	D6	Fresh	ST0102	ST	ST0102_R1	TE	0	euploidy
ST0102	129989	7315	2.984098655	human_E10_D6_Allo_ST_18	ST0102_R1.sc18	E10	5BC	D6	Fresh	ST0102	ST	ST0102_R1	TE	0	euploidy
ST0102	171983	7684	2.602001361	human_E10_D6_Allo_ST_19	ST0102_R1.sc19	E10	5BC	D6	Fresh	ST0102	ST	ST0102_R1	TE	0	euploidy
ST0102	52617	6717	4.483341886	human_E10_D6_Allo_ST_20	ST0102_R1.sc20	E10	5BC	D6	Fresh	ST0102	ST	ST0102_R1	TE	0	euploidy
ST0102	114336	7869	5.325531766	human_E10_D6_Allo_ST_24	ST0102_R1.sc24	E10	5BC	D6	Fresh	ST0102	ST	ST0102_R1	TE	6	aneuploidy
ST0102	37786	4348	11.50690732	human_E10_D6_Allo_ST_26	ST0102_R1.sc26	E10	5BC	D6	Fresh	ST0102	ST	ST0102_R1	TE	0	euploidy
ST0102	132937	8334	3.952248057	human_E10_D6_Allo_ST_3	ST0102_R1.sc3	E10	5BC	D6	Fresh	ST0102	ST	ST0102_R1	TE	0	euploidy
ST0102	166938	9546	3.406054943	human_E10_D6_Allo_ST_31	ST0102_R1.sc31	E10	5BC	D6	Fresh	ST0102	ST	ST0102_R1	TE	0	euploidy
ST0102	185442	8370	3.077512106	human_E10_D6_Allo_ST_32	ST0102_R1.sc32	E10	5BC	D6	Fresh	ST0102	ST	ST0102_R1	TE	3	aneuploidy
ST0102	99559	6516	3.606906457	human_E10_D6_Allo_ST_33	ST0102_R1.sc33	E10	5BC	D6	Fresh	ST0102	ST	ST0102_R1	TE	0	euploidy
ST0102	97127	6911	3.30083293	human_E10_D6_Allo_ST_43	ST0102_R1.sc43	E10	5BC	D6	Fresh	ST0102	ST	ST0102_R1	TE	0	euploidy
ST0102	358834	10031	2.918619752	human_E10_D6_Allo_ST_45	ST0102_R1.sc45	E10	5BC	D6	Fresh	ST0102	ST	ST0102_R1	TE	0	euploidy
ST0102	34841	5059	5.370109928	human_E10_D6_Allo_ST_5	ST0102_R1.sc5	E10	5BC	D6	Fresh	ST0102	ST	ST0102_R1	TE	0	euploidy
ST0102	102737	8486	3.731859019	human_E10_D6_Allo_ST_6	ST0102_R1.sc6	E10	5BC	D6	Fresh	ST0102	ST	ST0102_R1	TE	2	aneuploidy
ST0102	101462	7904	4.7613885	human_E10_D6_Allo_ST_7	ST0102_R1.sc7	E10	5BC	D6	Fresh	ST0102	ST	ST0102_R1	TE	2	aneuploidy
ST0102	163937	8724	3.24331908	human_E10_D6_Allo_ST_9	ST0102_R1.sc9	E10	5BC	D6	Fresh	ST0102	ST	ST0102_R1	TE	0	euploidy
ST0102	115926	7553	4.463192036	human_E11_D5_Cryo_NC_1	ST0102_R3.sc1	E11	4BB	D5	Cryo	ST0102	ICSI	ST0102_R3	TE	0	euploidy
ST0102	72239	5944	5.180027409	human_E11_D5_Cryo_NC_10	ST0102_R3.sc10	E11	4BB	D5	Cryo	ST0102	ICSI	ST0102_R3	TE	0	euploidy
ST0102	131858	7299	2.929666763	human_E11_D5_Cryo_NC_11	ST0102_R3.sc11	E11	4BB	D5	Cryo	ST0102	ICSI	ST0102_R3	TE	0	euploidy
ST0102	129119	7650	4.048978074	human_E11_D5_Cryo_NC_12	ST0102_R3.sc12	E11	4BB	D5	Cryo	ST0102	ICSI	ST0102_R3	EPI	0	euploidy
ST0102	97444	6780	3.858626493	human_E11_D5_Cryo_NC_13	ST0102_R3.sc13	E11	4BB	D5	Cryo	ST0102	ICSI	ST0102_R3	TE	0	euploidy
ST0102	86045	8198	4.496484398	human_E11_D5_Cryo_NC_14	ST0102_R3.sc14	E11	4BB	D5	Cryo	ST0102	ICSI	ST0102_R3	EPI	0	euploidy
ST0102	131525	7234	3.134004942	human_E11_D5_Cryo_NC_15	ST0102_R3.sc15	E11	4BB	D5	Cryo	ST0102	ICSI	ST0102_R3	EPI	0	euploidy
ST0102	183171	7610	2.930594909	human_E11_D5_Cryo_NC_16	ST0102_R3.sc16	E11	4BB	D5	Cryo	ST0102	ICSI	ST0102_R3	TE	0	euploidy
ST0102	168628	8467	3.493488626	human_E11_D5_Cryo_NC_17	ST0102_R3.sc17	E11	4BB	D5	Cryo	ST0102	ICSI	ST0102_R3	EPI	3	aneuploidy
ST0102	174379	8449	3.050826074	human_E11_D5_Cryo_NC_18	ST0102_R3.sc18	E11	4BB	D5	Cryo	ST0102	ICSI	ST0102_R3	EPI	0	euploidy
ST0102	115661	6113	3.743699259	human_E11_D5_Cryo_NC_19	ST0102_R3.sc19	E11	4BB	D5	Cryo	ST0102	ICSI	ST0102_R3	EPI	0	euploidy
ST0102	111819	7706	3.630867742	human_E11_D5_Cryo_NC_2	ST0102_R3.sc2	E11	4BB	D5	Cryo	ST0102	ICSI	ST0102_R3	EPI	0	euploidy
ST0102	113739	7738	3.460554427	human_E11_D5_Cryo_NC_20	ST0102_R3.sc20	E11	4BB	D5	Cryo	ST0102	ICSI	ST0102_R3	TE	0	euploidy
ST0102	66857	5847	3.83505093	human_E11_D5_Cryo_NC_21	ST0102_R3.sc21	E11	4BB	D5	Cryo	ST0102	ICSI	ST0102_R3	EPI	0	euploidy
ST0102	204095	8014	2.819275337	human_E11_D5_Cryo_NC_22	ST0102_R3.sc22	E11	4BB	D5	Cryo	ST0102	ICSI	ST0102_R3	TE	0	euploidy
ST0102	20882	4417	8.490566038	human_E11_D5_Cryo_NC_23	ST0102_R3.sc23	E11	4BB	D5	Cryo	ST0102	ICSI	ST0102_R3	TE	0	euploidy
ST0102	126530	7288	3.385758318	human_E11_D5_Cryo_NC_24	ST0102_R3.sc24	E11	4BB	D5	Cryo	ST0102	ICSI	ST0102_R3	EPI	0	euploidy
ST0102	167433	7120	2.795745164	human_E11_D5_Cryo_NC_25	ST0102_R3.sc25	E11	4BB	D5	Cryo	ST0102	ICSI	ST0102_R3	EPI	0	euploidy
ST0102	216320	8576	2.365477071	human_E11_D5_Cryo_NC_26	ST0102_R3.sc26	E11	4BB	D5	Cryo	ST0102	ICSI	ST0102_R3	EPI	0	euploidy
ST0102	158262	7355	2.770721967	human_E11_D5_Cryo_NC_27	ST0102_R3.sc27	E11	4BB	D5	Cryo	ST0102	ICSI	ST0102_R3	TE	0	euploidy
ST0102	35123	4816	7.089371637	human_E11_D5_Cryo_NC_28	ST0102_R3.sc28	E11	4BB	D5	Cryo	ST0102	ICSI	ST0102_R3	TE	0	euploidy
