Cell_id	Embryo	Grade	Day	Group	Lineage
ST0102_R1.sc10	E10	5BC	D6	ST	TE
ST0102_R1.sc11	E10	5BC	D6	ST	TE
ST0102_R1.sc12	E10	5BC	D6	ST	TE
ST0102_R1.sc13	E10	5BC	D6	ST	TE
ST0102_R1.sc14	E10	5BC	D6	ST	TE
ST0102_R1.sc15	E10	5BC	D6	ST	TE
ST0102_R1.sc17	E10	5BC	D6	ST	TE
ST0102_R1.sc18	E10	5BC	D6	ST	TE
ST0102_R1.sc19	E10	5BC	D6	ST	TE
ST0102_R1.sc20	E10	5BC	D6	ST	TE
ST0102_R1.sc24	E10	5BC	D6	ST	TE
ST0102_R1.sc26	E10	5BC	D6	ST	TE
ST0102_R1.sc3	E10	5BC	D6	ST	TE
ST0102_R1.sc31	E10	5BC	D6	ST	TE
ST0102_R1.sc32	E10	5BC	D6	ST	TE
ST0102_R1.sc33	E10	5BC	D6	ST	TE
ST0102_R1.sc43	E10	5BC	D6	ST	TE
ST0102_R1.sc45	E10	5BC	D6	ST	TE
ST0102_R1.sc5	E10	5BC	D6	ST	TE
ST0102_R1.sc6	E10	5BC	D6	ST	TE
ST0102_R1.sc7	E10	5BC	D6	ST	TE
ST0102_R1.sc9	E10	5BC	D6	ST	TE
ST0102_R3.sc1	E11	4BB	D5	ICSI	TE
ST0102_R3.sc10	E11	4BB	D5	ICSI	TE
ST0102_R3.sc11	E11	4BB	D5	ICSI	TE
ST0102_R3.sc12	E11	4BB	D5	ICSI	EPI
ST0102_R3.sc13	E11	4BB	D5	ICSI	TE
ST0102_R3.sc14	E11	4BB	D5	ICSI	EPI
ST0102_R3.sc15	E11	4BB	D5	ICSI	EPI
ST0102_R3.sc16	E11	4BB	D5	ICSI	TE
ST0102_R3.sc17	E11	4BB	D5	ICSI	EPI
ST0102_R3.sc18	E11	4BB	D5	ICSI	EPI
ST0102_R3.sc19	E11	4BB	D5	ICSI	EPI
ST0102_R3.sc2	E11	4BB	D5	ICSI	EPI
ST0102_R3.sc20	E11	4BB	D5	ICSI	TE
ST0102_R3.sc21	E11	4BB	D5	ICSI	EPI
ST0102_R3.sc22	E11	4BB	D5	ICSI	TE
ST0102_R3.sc23	E11	4BB	D5	ICSI	TE
ST0102_R3.sc24	E11	4BB	D5	ICSI	EPI
ST0102_R3.sc25	E11	4BB	D5	ICSI	EPI
ST0102_R3.sc26	E11	4BB	D5	ICSI	EPI
ST0102_R3.sc27	E11	4BB	D5	ICSI	TE
ST0102_R3.sc28	E11	4BB	D5	ICSI	TE
ST0102_R3.sc29	E11	4BB	D5	ICSI	EPI
ST0102_R3.sc3	E11	4BB	D5	ICSI	EPI
ST0102_R3.sc30	E11	4BB	D5	ICSI	TE
ST0102_R3.sc34	E11	4BB	D5	ICSI	TE
ST0102_R3.sc35	E11	4BB	D5	ICSI	TE
ST0102_R3.sc36	E11	4BB	D5	ICSI	TE
ST0102_R3.sc37	E11	4BB	D5	ICSI	TE
ST0102_R3.sc38	E11	4BB	D5	ICSI	TE
ST0102_R3.sc39	E11	4BB	D5	ICSI	TE
ST0102_R3.sc4	E11	4BB	D5	ICSI	TE
ST0102_R3.sc40	E11	4BB	D5	ICSI	TE
ST0102_R3.sc41	E11	4BB	D5	ICSI	TE
ST0102_R3.sc42	E11	4BB	D5	ICSI	TE
ST0102_R3.sc43	E11	4BB	D5	ICSI	TE
ST0102_R3.sc44	E11	4BB	D5	ICSI	TE
ST0102_R3.sc45	E11	4BB	D5	ICSI	TE
ST0102_R3.sc46	E11	4BB	D5	ICSI	TE
ST0102_R3.sc47	E11	4BB	D5	ICSI	TE
ST0102_R3.sc48	E11	4BB	D5	ICSI	TE
ST0102_R3.sc49	E11	4BB	D5	ICSI	TE
ST0102_R3.sc5	E11	4BB	D5	ICSI	EPI
ST0102_R3.sc50	E11	4BB	D5	ICSI	TE
ST0102_R3.sc51	E11	4BB	D5	ICSI	TE
ST0102_R3.sc52	E11	4BB	D5	ICSI	TE
ST0102_R3.sc53	E11	4BB	D5	ICSI	TE
ST0102_R3.sc56	E11	4BB	D5	ICSI	TE
ST0102_R3.sc58	E11	4BB	D5	ICSI	TE
ST0102_R3.sc6	E11	4BB	D5	ICSI	EPI
ST0102_R3.sc60	E11	4BB	D5	ICSI	TE
ST0102_R3.sc61	E11	4BB	D5	ICSI	TE
ST0102_R3.sc63	E11	4BB	D5	ICSI	TE
ST0102_R3.sc64	E11	4BB	D5	ICSI	TE
ST0102_R3.sc65	E11	4BB	D5	ICSI	TE
ST0102_R3.sc66	E11	4BB	D5	ICSI	TE
ST0102_R3.sc67	E11	4BB	D5	ICSI	TE
ST0102_R3.sc68	E11	4BB	D5	ICSI	TE
ST0102_R3.sc69	E11	4BB	D5	ICSI	TE
ST0102_R3.sc7	E11	4BB	D5	ICSI	TE
ST0102_R3.sc8	E11	4BB	D5	ICSI	TE
ST0102_R3.sc9	E11	4BB	D5	ICSI	TE
ST0102_R3.sc73	E12	4BC	D5	ICSI	TE
ST0102_R3.sc82	E12	4BC	D5	ICSI	TE
ST0102_R3.sc84	E12	4BC	D5	ICSI	TE
ST0102_R3.sc85	E12	4BC	D5	ICSI	TE
ST0102_R3.sc86	E12	4BC	D5	ICSI	TE
ST0102_R3.sc87	E12	4BC	D5	ICSI	TE
ST0102_R3.sc88	E12	4BC	D5	ICSI	TE
ST0102_R3.sc89	E12	4BC	D5	ICSI	TE
ST0102_R3.sc90	E12	4BC	D5	ICSI	TE
ST0102_R3.sc91	E12	4BC	D5	ICSI	TE
ST0102_R3.sc74	E12	4BC	D5	ICSI	TE
ST0102_R3.sc92	E12	4BC	D5	ICSI	EPI
ST0102_R3.sc93	E12	4BC	D5	ICSI	TE
ST0102_R3.sc94	E12	4BC	D5	ICSI	EPI
ST0102_R3.sc95	E12	4BC	D5	ICSI	EPI
ST0102_R3.sc96	E12	4BC	D5	ICSI	EPI
ST1024_R1.sc3	E12	4BC	D5	ICSI	TE
ST1024_R1.sc4	E12	4BC	D5	ICSI	TE
ST1024_R1.sc6	E12	4BC	D5	ICSI	TE
ST1024_R1.sc7	E12	4BC	D5	ICSI	TE
ST1024_R1.sc8	E12	4BC	D5	ICSI	TE
ST1024_R1.sc9	E12	4BC	D5	ICSI	TE
ST1024_R1.sc11	E12	4BC	D5	ICSI	TE
ST1024_R1.sc12	E12	4BC	D5	ICSI	TE
ST1024_R1.sc13	E12	4BC	D5	ICSI	TE
ST0102_R3.sc76	E12	4BC	D5	ICSI	EPI
ST1024_R1.sc17	E12	4BC	D5	ICSI	TE
ST1024_R1.sc18	E12	4BC	D5	ICSI	TE
ST1024_R1.sc20	E12	4BC	D5	ICSI	TE
ST1024_R1.sc22	E12	4BC	D5	ICSI	TE
ST0102_R3.sc77	E12	4BC	D5	ICSI	EPI
ST1024_R1.sc27	E12	4BC	D5	ICSI	TE
ST1024_R1.sc28	E12	4BC	D5	ICSI	TE
ST1024_R1.sc32	E12	4BC	D5	ICSI	TE
ST0102_R3.sc79	E12	4BC	D5	ICSI	EPI
ST1003_R3.sc10	E13	4CB	D6	ICSI	TE
ST1003_R3.sc11	E13	4CB	D6	ICSI	TE
ST1003_R3.sc12	E13	4CB	D6	ICSI	TE
ST1003_R3.sc13	E13	4CB	D6	ICSI	TE
ST1003_R3.sc14	E13	4CB	D6	ICSI	TE
ST1003_R3.sc15	E13	4CB	D6	ICSI	TE
ST1003_R3.sc16	E13	4CB	D6	ICSI	TE
ST1003_R3.sc17	E13	4CB	D6	ICSI	TE
ST1003_R3.sc18	E13	4CB	D6	ICSI	TE
ST1003_R3.sc19	E13	4CB	D6	ICSI	EPI
ST1003_R3.sc2	E13	4CB	D6	ICSI	TE
ST1003_R3.sc20	E13	4CB	D6	ICSI	TE
ST1003_R3.sc21	E13	4CB	D6	ICSI	TE
ST1003_R3.sc22	E13	4CB	D6	ICSI	TE
ST1003_R3.sc24	E13	4CB	D6	ICSI	TE
ST1003_R3.sc25	E13	4CB	D6	ICSI	TE
ST1003_R3.sc26	E13	4CB	D6	ICSI	TE
ST1003_R3.sc27	E13	4CB	D6	ICSI	TE
ST1003_R3.sc28	E13	4CB	D6	ICSI	TE
ST1003_R3.sc29	E13	4CB	D6	ICSI	TE
ST1003_R3.sc30	E13	4CB	D6	ICSI	TE
ST1003_R3.sc31	E13	4CB	D6	ICSI	TE
ST1003_R3.sc33	E13	4CB	D6	ICSI	EPI
ST1003_R3.sc35	E13	4CB	D6	ICSI	TE
ST1003_R3.sc36	E13	4CB	D6	ICSI	TE
ST1003_R3.sc37	E13	4CB	D6	ICSI	TE
ST1003_R3.sc38	E13	4CB	D6	ICSI	TE
ST1003_R3.sc40	E13	4CB	D6	ICSI	TE
ST1003_R3.sc42	E13	4CB	D6	ICSI	EPI
ST1003_R3.sc5	E13	4CB	D6	ICSI	EPI
ST1003_R3.sc7	E13	4CB	D6	ICSI	TE
ST1003_R3.sc54	E14	4CB	D6	ICSI	TE
ST1003_R3.sc55	E14	4CB	D6	ICSI	TE
ST1003_R3.sc57	E14	4CB	D6	ICSI	TE
ST1003_R3.sc58	E14	4CB	D6	ICSI	TE
ST1003_R3.sc59	E14	4CB	D6	ICSI	TE
ST1003_R3.sc61	E14	4CB	D6	ICSI	EPI
ST1003_R3.sc63	E14	4CB	D6	ICSI	TE
ST1003_R3.sc65	E14	4CB	D6	ICSI	TE
ST1003_R3.sc66	E14	4CB	D6	ICSI	TE
ST1003_R3.sc67	E14	4CB	D6	ICSI	TE
ST1003_R3.sc68	E14	4CB	D6	ICSI	TE
ST1003_R3.sc71	E14	4CB	D6	ICSI	TE
ST1003_R3.sc72	E14	4CB	D6	ICSI	EPI
ST1003_R3.sc73	E14	4CB	D6	ICSI	TE
ST1003_R3.sc76	E14	4CB	D6	ICSI	TE
ST1003_R3.sc79	E14	4CB	D6	ICSI	EPI
ST1003_R3.sc80	E14	4CB	D6	ICSI	EPI
ST1003_R3.sc81	E14	4CB	D6	ICSI	TE
ST1003_R3.sc46	E14	4CB	D6	ICSI	TE
ST1003_R3.sc82	E14	4CB	D6	ICSI	TE
ST1003_R3.sc85	E14	4CB	D6	ICSI	TE
ST1003_R3.sc86	E14	4CB	D6	ICSI	TE
ST1003_R3.sc87	E14	4CB	D6	ICSI	TE
ST1003_R3.sc88	E14	4CB	D6	ICSI	TE
ST1003_R3.sc47	E14	4CB	D6	ICSI	TE
ST1003_R3.sc49	E14	4CB	D6	ICSI	PE
ST1003_R3.sc50	E14	4CB	D6	ICSI	TE
ST1008_R2.sc41	E15	5BB	D5	ST	TE
ST1008_R2.sc50	E15	5BB	D5	ST	TE
ST1008_R2.sc52	E15	5BB	D5	ST	TE
ST1008_R2.sc53	E15	5BB	D5	ST	TE
ST1008_R2.sc54	E15	5BB	D5	ST	TE
ST1008_R2.sc55	E15	5BB	D5	ST	TE
ST1008_R2.sc56	E15	5BB	D5	ST	TE
ST1008_R2.sc57	E15	5BB	D5	ST	TE
ST1008_R2.sc58	E15	5BB	D5	ST	TE
ST1008_R2.sc59	E15	5BB	D5	ST	TE
ST1008_R2.sc42	E15	5BB	D5	ST	TE
ST1008_R2.sc60	E15	5BB	D5	ST	TE
ST1008_R2.sc61	E15	5BB	D5	ST	TE
ST1008_R2.sc62	E15	5BB	D5	ST	TE
ST1008_R2.sc63	E15	5BB	D5	ST	TE
ST1008_R2.sc64	E15	5BB	D5	ST	TE
ST1008_R2.sc65	E15	5BB	D5	ST	TE
ST1008_R2.sc66	E15	5BB	D5	ST	EPI
ST1008_R2.sc67	E15	5BB	D5	ST	TE
ST1008_R2.sc68	E15	5BB	D5	ST	PE
ST1008_R2.sc69	E15	5BB	D5	ST	TE
ST1008_R2.sc70	E15	5BB	D5	ST	TE
ST1008_R2.sc71	E15	5BB	D5	ST	TE
ST1008_R2.sc72	E15	5BB	D5	ST	TE
ST1008_R2.sc73	E15	5BB	D5	ST	TE
ST1008_R2.sc74	E15	5BB	D5	ST	TE
ST1008_R2.sc75	E15	5BB	D5	ST	TE
ST1008_R2.sc77	E15	5BB	D5	ST	TE
ST1008_R2.sc79	E15	5BB	D5	ST	TE
ST1008_R2.sc44	E15	5BB	D5	ST	TE
ST1008_R2.sc81	E15	5BB	D5	ST	TE
ST1008_R2.sc82	E15	5BB	D5	ST	TE
ST1008_R2.sc83	E15	5BB	D5	ST	PE
ST1008_R2.sc84	E15	5BB	D5	ST	TE
ST1008_R2.sc85	E15	5BB	D5	ST	TE
ST1008_R2.sc86	E15	5BB	D5	ST	TE
ST1008_R2.sc87	E15	5BB	D5	ST	TE
ST1008_R2.sc88	E15	5BB	D5	ST	TE
ST1008_R2.sc89	E15	5BB	D5	ST	TE
ST1008_R2.sc90	E15	5BB	D5	ST	TE
ST1008_R2.sc91	E15	5BB	D5	ST	EPI
ST1008_R2.sc92	E15	5BB	D5	ST	PE
ST1008_R2.sc93	E15	5BB	D5	ST	TE
ST1008_R2.sc95	E15	5BB	D5	ST	TE
ST1008_R2.sc46	E15	5BB	D5	ST	TE
ST1008_R2.sc47	E15	5BB	D5	ST	TE
ST1008_R2.sc48	E15	5BB	D5	ST	TE
ST1008_R2.sc49	E15	5BB	D5	ST	TE
ST1008_R1.sc11	E16	5CB	D6	ST	TE
ST1008_R1.sc12	E16	5CB	D6	ST	TE
ST1008_R1.sc13	E16	5CB	D6	ST	TE
ST1008_R1.sc14	E16	5CB	D6	ST	TE
ST1008_R1.sc15	E16	5CB	D6	ST	TE
ST1008_R1.sc17	E16	5CB	D6	ST	TE
ST1008_R1.sc18	E16	5CB	D6	ST	TE
ST1008_R1.sc19	E16	5CB	D6	ST	TE
ST1008_R1.sc2	E16	5CB	D6	ST	EPI
ST1008_R1.sc21	E16	5CB	D6	ST	TE
ST1008_R1.sc27	E16	5CB	D6	ST	TE
ST1008_R1.sc28	E16	5CB	D6	ST	TE
ST1008_R1.sc3	E16	5CB	D6	ST	TE
ST1008_R1.sc30	E16	5CB	D6	ST	TE
ST1008_R1.sc31	E16	5CB	D6	ST	TE
ST1008_R1.sc32	E16	5CB	D6	ST	TE
ST1008_R1.sc33	E16	5CB	D6	ST	TE
ST1008_R1.sc35	E16	5CB	D6	ST	TE
ST1008_R1.sc36	E16	5CB	D6	ST	TE
ST1008_R1.sc37	E16	5CB	D6	ST	TE
ST1008_R1.sc38	E16	5CB	D6	ST	TE
ST1008_R1.sc4	E16	5CB	D6	ST	TE
ST1008_R1.sc41	E16	5CB	D6	ST	TE
ST1008_R1.sc43	E16	5CB	D6	ST	TE
ST1008_R1.sc44	E16	5CB	D6	ST	TE
ST1008_R1.sc45	E16	5CB	D6	ST	TE
ST1008_R1.sc46	E16	5CB	D6	ST	TE
ST1008_R1.sc47	E16	5CB	D6	ST	TE
ST1008_R1.sc48	E16	5CB	D6	ST	TE
ST1008_R1.sc49	E16	5CB	D6	ST	TE
ST1008_R1.sc5	E16	5CB	D6	ST	TE
ST1008_R1.sc50	E16	5CB	D6	ST	TE
ST1008_R1.sc51	E16	5CB	D6	ST	TE
ST1008_R1.sc53	E16	5CB	D6	ST	TE
ST1008_R1.sc54	E16	5CB	D6	ST	TE
ST1008_R1.sc56	E16	5CB	D6	ST	TE
ST1008_R1.sc57	E16	5CB	D6	ST	TE
ST1008_R1.sc58	E16	5CB	D6	ST	TE
ST1008_R1.sc68	E17	5BC	D6	ST	TE
ST1008_R1.sc69	E17	5BC	D6	ST	TE
ST1008_R1.sc70	E17	5BC	D6	ST	TE
ST1008_R1.sc71	E17	5BC	D6	ST	TE
ST1008_R1.sc73	E17	5BC	D6	ST	TE
ST1008_R1.sc74	E17	5BC	D6	ST	TE
ST1008_R1.sc75	E17	5BC	D6	ST	TE
ST1008_R1.sc78	E17	5BC	D6	ST	TE
ST1008_R1.sc79	E17	5BC	D6	ST	TE
ST1008_R1.sc81	E17	5BC	D6	ST	TE
ST1008_R1.sc83	E17	5BC	D6	ST	TE
