Chr	Start	End	Gene_id
Y	2786855	2787699	SRY
Y	2841486	2932000	RPS4Y1
Y	2934406	2934771	RP11-414C23.1
Y	2935281	2982506	ZFY
Y	2966844	3002626	ZFY-AS1
Y	3002912	3102272	LINC00278
Y	3579041	3580041	TGIF2LY
Y	4036497	4100320	AC010084.1
Y	4993858	4999650	RP11-122L9.1
Y	5000226	5742224	PCDH11Y
Y	6242446	6243610	TTTY23B
Y	6246223	6249019	TSPY2
Y	6357219	6361413	LINC00280
Y	6390431	6411564	TTTY1B
Y	6406244	6424145	TTTY2B
Y	6443434	6447077	TTTY21B
Y	6449468	6457906	TTTY7
Y	6470773	6473630	TTTY8B
Y	6865918	6874027	AMELY
Y	6910686	7091683	TBL1Y
Y	7699357	7701247	TTTY16
Y	7804924	7810683	TTTY12
Y	8549671	8748740	AC064829.1
Y	8638294	8644842	LINC00279
Y	8683370	8683878	TTTY18
Y	8695281	8743495	AC009491.2
Y	8704472	8705283	TTTY19
Y	8710885	8745985	AC009491.1
Y	8783310	8817382	TTTY11
Y	9329880	9334832	TTTY20
Y	9337464	9340284	TSPY4
Y	9357797	9380870	TSPY8
Y	9398421	9401223	TSPY3
Y	9458613	9465974	FAM197Y5P
Y	9466955	9490081	TSPY1
Y	9487286	9490081	TSPY9P
Y	9527880	9530682	TSPY10
Y	9691100	9693957	TTTY8
Y	9706824	9715262	TTTY7B
Y	9717653	9721296	TTTY21
Y	9740584	9758476	TTTY2
Y	9753156	9774289	TTTY1
Y	9801153	9813245	TTTY22
Y	9813315	9817513	AC010891.2
Y	9910798	9911962	TTTY23
Y	12662334	12692233	TTTY15
Y	12701231	12860839	USP9Y
Y	12904108	12920478	DDX3Y
Y	13248379	13480673	UTY
Y	13703567	13706024	TMSB4Y
Y	13985772	13986513	VCY
Y	14056217	14056958	VCY1B
Y	14276212	14277489	AC010723.1
Y	14522638	14845650	NLGN4Y
Y	14793642	14804033	NLGN4Y-AS1
Y	17500958	17515018	FAM41AY1
Y	17552800	17579754	FAM224B
Y	17877410	17880220	CDY2B
Y	18025787	18028597	CDY2A
Y	18326253	18353210	FAM224A
Y	18390994	18405046	FAM41AY2
Y	18491740	18547698	AC022486.1
Y	18546671	18588963	HSFY1
Y	18581206	18590521	TTTY9B
Y	18731440	18828662	HSFY2
Y	18872501	19077416	TTTY14
Y	19576009	19576182	AC009977.1
Y	19691941	19694606	RP11-424G14.1
Y	19703865	19744939	KDM5D
Y	20465668	20519228	TTTY10
Y	20575725	20593154	EIF1AY
Y	20756164	20781032	RPS4Y2
Y	21038289	21044724	RP11-65G9.1
Y	21382954	21386360	PRORY
Y	21511338	21549094	RBMY1B
Y	21511372	21549326	RBMY1A1
Y	21583600	21594666	TTTY13
Y	21880076	21918067	RBMY1E
Y	21880076	21894526	RBMY1D
Y	22071756	22096007	PRY2
Y	22100814	22147484	AC007359.6
Y	22144966	22146831	TTTY6B
Y	22168542	22182982	RBMY1F
Y	22296798	22298876	TTTY5
Y	22308823	22417881	RBMY1J
Y	22438940	22485592	AC008175.1
Y	22439593	22441458	TTTY6
Y	22490397	22514637	PRY
Y	22851584	22852715	TTTY17A
Y	22936455	22973284	TTTY4
Y	22973819	23005465	BPY2
Y	23129355	23199094	DAZ1
Y	23219434	23291356	DAZ2
Y	23936727	23941622	TTTY3B
Y	24045229	24048019	CDY1B
Y	24196425	24206144	AC012005.4
Y	24362031	24362436	AC012005.3
Y	24485332	24486463	TTTY17B
Y	24570202	24607025	TTTY4B
Y	24607560	24639207	BPY2B
Y	24763069	24813492	DAZ3
Y	24833843	24907040	DAZ4
Y	25030901	25062548	BPY2C
Y	25063083	25099892	TTTY4C
Y	25183643	25184773	TTTY17C
Y	25307702	25308107	AC006386.1
Y	25378300	25394719	LINC00266-4P
Y	25463994	25473714	AC006328.4
Y	25482908	25486705	CSPG4P1Y
Y	25622162	25624902	CDY1
Y	25728490	25733388	TTTY3
