Chr	Start	End	Gene_id
X	276322	303356	PLCXD1
X	304529	318819	GTPBP6
X	320990	321851	LINC00685
X	333963	386955	PPP2R3B
X	386980	405579	RP13-465B17.4
X	419157	421980	RP13-465B17.5
X	624344	659411	SHOX
X	990221	994365	RP11-309M23.1
X	1187549	1212750	CRLF2
X	1268800	1310381	CSF2RA
X	1336616	1382689	IL3RA
X	1386152	1392724	SLC25A6
X	1396427	1399402	LINC00106
X	1401769	1414028	ASMTL-AS1
X	1403139	1453762	ASMTL
X	1462572	1537107	P2RY8
X	1591593	1602514	AKAP17A
X	1615001	1643081	ASMT
X	1732584	1755985	RP13-297E16.4
X	1767347	1768776	RP13-297E16.5
X	2219516	2502805	DHRSX
X	2486414	2500967	ZBED1
X	2612988	2615347	LINC00102
X	2691179	2741309	CD99
X	2752050	2815927	XG
X	2828788	2882818	GYG2
X	2852740	2853760	GYG2-AS1
X	2903970	2929351	ARSD
X	2904904	2906081	ARSD-AS1
X	2934632	2968310	ARSE
X	3006613	3033571	ARSH
X	3041471	3112726	ARSF
X	3271820	3284653	LINC01546
X	3308565	3346641	MXRA5
X	3604370	3713608	PRKX
X	3659487	3668192	PRKX-AS1
X	3817528	3843857	RP11-706O15.1
X	3853010	3882317	RP11-706O15.3
X	3891438	3920746	RP11-706O15.5
X	3929869	3937855	RP11-706O15.7
X	4627200	4633572	RP11-707P20.1
X	5653421	5726305	RP11-733O18.1
X	5840637	6228863	NLGN4X
X	6533618	6535118	VCX3A
X	6667865	6721544	RP11-1M18.1
X	7048920	7148190	PUDP
X	7219456	7354810	STS
X	7842262	7844143	VCX
X	7898247	7927739	PNPLA4
X	8007378	8018160	RP11-692P14.1
X	8169944	8171267	VCX2
X	8464830	8466510	VCX3B
X	8528874	8732187	ANOS1
X	8790795	8801383	FAM9A
X	8863861	8867601	GS1-542M4.4
X	9024232	9164639	FAM9B
X	9249920	9275206	GS1-519E5.1
X	9463295	9719743	TBL1X
X	9725346	9786297	GPR143
X	9786456	9949443	SHROOM2
X	9967358	9968352	CLDN34
X	10015562	10144478	WWC3
X	10024842	10038654	WWC3-AS1
X	10156945	10237660	CLCN4
X	10242339	10365323	RP6-1O2.1
X	10445310	10833654	MID1
X	10847877	11111141	RP11-120D5.1
X	11111301	11123078	HCCS
X	11137543	11665701	ARHGAP6
X	11293413	11300761	AMELX
X	11668401	11757718	GS1-590J6.3
X	11758159	11775753	MSL3
X	12138466	12724523	FRMPD4
X	12373167	12375133	FRMPD4-AS1
X	12791355	12824222	PRPS2
X	12867083	12890380	TLR7
X	12902817	12908333	TLR8-AS1
X	12906620	12923169	TLR8
X	12975108	12977227	TMSB4X
X	13035618	13044682	FAM9C
X	13093660	13094573	RP11-791M20.1
X	13266048	13303452	GS1-600G8.5
X	13310652	13319933	GS1-600G8.3
X	13318236	13319952	ATXN3L
X	13335241	13373634	LINC01203
X	13377188	13403019	RP11-1L9.1
X	13569605	13633575	EGFL6
X	13653189	13681964	TCEANC
X	13689121	13710506	RAB9A
X	13712244	13734635	TRAPPC2
X	13734745	13769353	OFD1
X	13771031	13938638	GPM6B
X	13955393	13963904	RP1-122K4.2
X	13980066	13988820	RP1-122K4.3
X	14008279	14029893	GEMIN8
X	14529298	14731812	GLRA2
X	14843407	14873069	FANCB
X	14873441	14922327	MOSPD2
X	15235288	15270467	ASB9
X	15281697	15315656	ASB11
X	15319451	15335580	PIGA
X	15345591	15384376	FIGF
X	15384799	15493564	PIR
X	15464246	15556529	BMX
X	15561033	15602148	ACE2
X	15602881	15621484	GS1-594A7.3
X	15627318	15665031	TMEM27
X	15688830	15788409	CA5B
X	15785716	15787589	INE2
X	15790472	15823260	ZRSR2
X	15825806	15855014	AP1S2
X	16123556	16153021	GRPR
X	16152941	16170869	RP11-431J24.2
X	16167481	16171464	MAGEB17
X	16588003	16712936	CTPS2
X	16650158	16654670	S100G
X	16719632	16765336	SYAP1
X	16786427	16844519	TXLNG
X	16839283	16870414	RBBP7
X	16946691	17153280	REPS2
X	17375420	17735994	NHS
X	17552349	17557387	NHS-AS1
X	17737449	17754988	SCML1
X	17800049	17861337	RAI2
X	17970197	18104644	LINC01456
X	18162931	18220883	BEND2
X	18239314	18354727	SCML2
X	18425583	18653629	CDKL5
X	18639910	18672109	RS1
X	18675909	18827921	PPEF1
X	18688643	18691604	PPEF1-AS1
X	18890296	18894497	PHKA2-AS1
X	18892300	18984598	PHKA2
X	18989309	19122637	ADGRG2
X	19343893	19361705	PDHA1
X	19360056	19515261	MAP3K15
X	19533975	19887601	SH3KBP1
X	19912860	19970298	CXorf23
X	20006713	20116917	MAP7D2
X	20124518	20141844	EIF1AX
X	20139968	20140444	EIF1AX-AS1
X	20149911	20267100	RPS6KA3
X	21374418	21654695	CNKSR2
X	21654690	21658330	KLHL34
X	21705972	21758163	SMPX
X	21839636	21885424	MBTPS2
X	21855987	21858727	YY2
X	21940573	21994835	SMS
X	22032441	22251310	PHEX
X	22162733	22172983	PHEX-AS1
X	22259797	23293146	PTCHD1-AS
